Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
,1.0,16.21,0.00297924,32.42,,
,2.0,25.65,0.000797864,120.96,,
m,8.0,81.22,0.000872818,41.23,,
m,14.0,98.46,0.0020917,16.81,D-Esc.,
,17.0,153.87,0.000481383,112.91,Sum,
,24.0,270.26,0.000860161,66.79,Sum,
,29.0,374.95,0.000242384,110.62,Sum,
M,30.0,419.39,0.000171224,69.52,Sum,
m,31.0,423.49,0.000133416,86.84,Sum,
,38.0,746.31,0.000181799,119.81,Sum,
,41.0,1001.02,0.00170519,25.51,,
,43.0,1141.39,0.000181711,94.8,,
,48.0,1543.0,0.000231898,86.76,Sum,
,54.0,2204.05,0.000428391,64.13,,
