Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
,1.0,95.0,105.0,100.01,19.12,0.77,155.1,59.55,306.9
,2.0,125.0,145.0,133.06,25.68,0.71,132.1,94.64,574.9
,3.0,197.0,208.0,205.5,40.05,0.43,75.03,59.48,323.0
,4.0,230.0,244.0,238.38,46.57,0.9,787.8,84.42,344.2
,5.0,248.0,259.0,256.38,50.15,0.23,69.38,56.36,287.6
,6.0,314.0,329.0,322.62,63.29,0.85,2392.0,122.51,450.6
M,7.0,366.0,417.0,380.59,74.79,0.81,1260.0,68.31,583.9
m,8.0,366.0,417.0,392.25,77.1,0.82,2174.0,86.34,561.5
m,9.0,366.0,417.0,412.29,81.08,0.83,72.33,30.9,508.7
M,10.0,421.0,490.0,427.11,84.02,0.9,378.7,42.68,378.5
m,11.0,421.0,490.0,443.41,87.26,0.9,728.5,52.94,585.3
m,12.0,421.0,490.0,456.63,89.88,0.91,353.8,41.29,556.6
m,13.0,421.0,490.0,470.44,92.62,0.92,3320.0,102.31,498.1
m,14.0,421.0,490.0,479.22,94.36,0.92,172.2,32.36,444.2
,15.0,493.0,506.0,500.12,98.51,0.75,148.1,58.49,255.9
,16.0,567.0,587.0,571.83,112.73,0.9,141.9,77.38,365.1
,17.0,720.0,735.0,728.0,143.72,0.93,299.0,63.85,240.0
,18.0,775.0,784.0,780.01,154.04,0.99,54.4,36.75,125.6
,19.0,818.0,833.0,826.64,163.29,0.56,126.0,54.77,208.0
,20.0,932.0,951.0,939.69,185.72,1.14,2201.0,106.94,188.5
M,21.0,1014.0,1070.0,1038.07,205.24,0.77,125.7,26.84,163.9
m,22.0,1014.0,1070.0,1058.63,209.32,0.78,95.16,25.18,172.2
M,23.0,1187.0,1234.0,1206.31,238.62,0.96,1749.0,76.63,160.9
m,24.0,1187.0,1234.0,1217.6,240.86,0.96,141.0,40.05,155.4
m,25.0,1187.0,1234.0,1223.31,241.99,0.96,860.8,60.85,153.2
,26.0,1354.0,1377.0,1365.97,270.3,1.17,128.9,54.94,156.1
,27.0,1483.0,1501.0,1491.26,295.15,1.16,1828.0,95.35,130.8
M,28.0,1650.0,1728.0,1656.93,328.02,1.0,50.53,17.8,68.4
m,29.0,1650.0,1728.0,1708.4,338.23,1.02,289.1,34.67,141.4
