Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,35.4,17.2,857.0,1030.0,942.0,42.9,942.0,85.9
CS-137,2.15,1.03,10.2,13.8,12.0,0.917,12.0,1.83
TL-208,4.92,2.37,23.6,29.9,26.8,1.61,26.8,3.23
PB-210,28.4,14.0,241.0,285.0,263.0,11.1,263.0,22.2
BI-212,30.9,14.8,65.7,110.0,87.7,11.2,87.7,22.5
PB-212,2.12,1.02,65.1,71.6,68.3,1.66,68.3,3.33
BI-214,11.2,5.23,166.0,186.0,176.0,5.3,176.0,10.6
PB-214,3.29,1.6,159.0,167.0,163.0,1.94,163.0,3.87
RA-226,118.0,58.5,427.0,598.0,512.0,43.7,512.0,87.4
TH-227,7.27,3.51,2.44,8.0,5.22,1.42,5.22,2.84
AC-228,10.5,5.05,77.2,87.9,82.5,2.74,82.5,5.48
PA-228,7.69,3.51,9.18,14.7,11.9,1.4,11.9,2.79
TH-230,286.0,138.0,39.2,366.0,195.0,87.3,197.0,168.0
TH-234,34.4,15.1,924.0,975.0,949.0,13.0,949.0,26.0
U-235,5.42,2.61,27.8,35.6,31.7,1.99,31.7,3.98
