Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
BE-7,1.0,477.59,True,False,10.42,13.40361,15.67062
K-40,1.0,1460.81,True,False,10.67,814.0925,84.95517
CS-137,0.998,32.19,True,True,3.66,327.7718,79.06285
CS-137,,661.65,True,False,85.12,295.3242,17.54447
CS-137,,74.97,True,True,3.41,303.5537,97.48756
CS-137,,510.77,True,False,22.6,11.2103,12.66858
CS-137,,583.19,True,False,84.5,36.10249,7.551753
CS-137,,860.56,True,False,12.42,36.91494,16.17894
CS-137,,2614.53,True,False,99.16,27.15524,12.34009
PB-210,1.0,46.53,True,False,4.25,1903.933,79.9746
BI-212,1.0,727.18,True,False,6.65,70.88052,37.14399
PB-212,0.942,74.81,True,False,10.5,98.58269,31.91137
PB-212,,77.11,True,False,17.6,83.94935,27.14707
PB-212,,87.3,True,True,7.9,50.9599,6.34967
PB-212,,238.63,True,False,43.6,94.90083,8.396611
BI-214,0.926,609.31,True,False,46.3,190.6249,15.9449
BI-214,,768.36,True,True,5.04,257.1855,101.6336
BI-214,,934.06,True,True,3.21,118.1586,56.82474
BI-214,,1120.29,True,True,15.1,198.7531,52.42555
BI-214,,1155.19,True,True,1.69,233.79,229.8692
BI-214,,1238.11,True,True,5.94,92.28561,61.28382
BI-214,,1377.67,True,True,4.11,268.5643,79.66786
BI-214,,1401.5,True,True,1.39,217.524,240.816
BI-214,,1729.6,True,True,3.05,474.2786,103.7783
BI-214,,1764.49,True,False,15.8,169.5102,26.65018
BI-214,,1847.44,True,True,2.12,370.2232,117.389
BI-214,,2118.54,True,True,1.21,441.2155,320.248
PB-214,0.998,74.81,True,True,6.33,163.5258,51.44639
PB-214,,77.11,True,True,10.7,138.0849,43.28108
PB-214,,87.2,True,True,3.7,108.8063,7.899304
PB-214,0.998,89.8,True,True,1.03,134.4534,26.86739
PB-214,,241.98,True,True,7.49,183.9937,19.34747
PB-214,,295.21,True,False,19.2,188.2872,11.77398
PB-214,,351.92,True,False,37.2,188.1627,8.489213
PB-214,,785.91,True,True,1.1,286.6755,173.9751
RA-226,0.947,186.21,True,False,3.28,1078.834,79.97021
AC-228,0.884,89.95,True,True,2.1,65.94619,13.17782
AC-228,,93.35,True,True,3.5,1198.731,29.87817
AC-228,,209.28,True,True,4.4,39.77026,13.84346
AC-228,,270.23,True,True,3.6,70.24232,37.37721
AC-228,,338.32,True,False,11.4,97.95647,58.59406
AC-228,,911.6,True,False,27.7,88.52165,15.59187
AC-228,,964.6,True,True,5.2,48.47715,27.15733
AC-228,,969.11,True,False,16.6,83.13603,15.77365
TH-234,0.551,63.29,True,False,4.5,837.8949,338.636
TH-234,,92.8,True,True,2.6,1636.547,756.4299
U-235,0.962,89.96,True,True,1.5,92.32467,18.44894
U-235,,93.35,True,True,2.5,1678.223,41.82944
U-235,,105.0,True,True,1.0,62.69711,33.95502
U-235,,143.76,True,False,10.5,31.72631,9.15771
U-235,,163.35,True,True,4.7,54.13145,23.75115
U-235,,185.71,True,True,54.0,65.52916,5.296063
U-235,,205.31,True,True,4.7,84.00676,21.62801
