Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
True,False,False,BE-7,477.59,True,False,10.42,25.64,25.64,13.4,11.87
True,False,False,K-40,1460.81,True,False,10.67,34.1,34.1,814.1,15.92
True,False,False,CS-137,32.19,True,False,3.66,97.9,6.617,327.8,47.29
False,False,False,CS-137,661.65,True,False,85.12,6.617,,295.3,3.201
True,False,False,TL-208,72.8,False,False,2.02,130.7,9.668,-6.189,64.08
False,False,False,TL-208,74.97,True,False,3.41,84.48,,303.6,41.51
False,False,False,TL-208,84.9,False,False,1.51,152.2,,-506.7,74.44
False,False,False,TL-208,277.36,False,False,6.31,26.54,,-0.1914,12.77
False,False,False,TL-208,510.77,True,False,22.6,20.73,,11.21,9.826
False,False,False,TL-208,583.19,True,False,84.5,9.668,,36.1,4.612
False,False,False,TL-208,763.13,False,False,1.81,211.7,,15.63,99.83
False,False,False,TL-208,860.56,True,False,12.42,22.47,,36.91,10.28
False,False,False,TL-208,2614.53,True,False,99.16,16.31,,27.16,7.228
True,False,False,PB-210,46.53,True,False,4.25,79.74,79.74,1904.0,39.24
True,False,False,BI-212,727.18,True,False,6.65,56.48,56.48,70.88,26.71
True,False,False,PB-212,74.81,True,False,10.5,23.31,3.757,98.58,11.41
False,False,False,PB-212,77.11,True,False,17.6,17.21,,83.95,8.452
False,False,False,PB-212,87.3,True,False,7.9,24.31,,50.96,11.83
False,False,False,PB-212,115.18,False,False,0.59,212.9,,0.2387,103.3
False,False,False,PB-212,238.63,True,False,43.6,3.757,,94.9,1.794
False,False,False,PB-212,300.09,False,False,3.34,54.1,,7.948,25.96
True,False,False,BI-214,609.31,True,False,46.3,14.93,14.93,190.6,7.155
False,False,False,BI-214,768.36,True,False,5.04,157.3,,257.2,76.48
False,False,False,BI-214,806.17,False,False,1.23,294.8,,169.0,138.4
False,False,False,BI-214,934.06,True,False,3.21,78.4,,118.2,35.23
False,False,False,BI-214,1120.29,True,False,15.1,70.69,,198.8,33.51
False,False,False,BI-214,1155.19,True,False,1.69,369.2,,233.8,169.8
False,False,False,BI-214,1238.11,True,False,5.94,94.42,,92.29,43.87
False,False,False,BI-214,1280.96,False,False,1.47,335.8,,225.7,155.8
False,False,False,BI-214,1377.67,True,False,4.11,103.9,,268.6,48.52
False,False,False,BI-214,1401.5,True,False,1.39,394.1,,217.5,187.3
False,False,False,BI-214,1407.98,False,False,2.48,133.5,,-38.87,61.45
False,False,False,BI-214,1509.19,False,False,2.19,147.1,,107.2,67.99
False,False,False,BI-214,1661.28,False,False,1.15,226.6,,-28.63,102.2
False,False,False,BI-214,1729.6,True,False,3.05,107.4,,474.3,49.33
False,False,False,BI-214,1764.49,True,False,15.8,20.42,,169.5,9.358
False,False,False,BI-214,1847.44,True,False,2.12,129.0,,370.2,56.69
False,False,False,BI-214,2118.54,True,False,1.21,481.2,,441.2,213.7
True,False,False,PB-214,74.81,True,False,6.33,38.95,6.205,163.5,19.14
False,False,False,PB-214,77.11,True,False,10.7,29.45,,138.1,14.53
False,False,False,PB-214,87.2,True,False,3.7,54.55,,108.8,26.75
False,False,False,PB-214,89.8,True,False,1.03,208.6,,134.5,102.4
False,False,False,PB-214,241.98,True,False,7.49,18.85,,184.0,9.031
False,False,False,PB-214,295.21,True,False,19.2,11.05,,188.3,5.359
False,False,False,PB-214,351.92,True,False,37.2,6.205,,188.2,3.004
False,False,False,PB-214,785.91,True,False,1.1,263.4,,286.7,121.9
True,False,False,RA-226,186.21,True,False,3.28,227.7,227.7,1079.0,112.9
False,False,False,TH-227,50.2,False,False,8.5,26.51,24.6,8.294,12.94
False,False,False,TH-227,79.77,False,False,2.1,97.0,,-1697.0,47.53
False,False,False,TH-227,85.44,False,False,1.58,156.3,,-553.2,76.92
False,False,False,TH-227,88.48,False,False,2.82,89.5,,369.0,44.06
False,False,False,TH-227,94.0,False,False,1.4,272.2,,2616.0,134.7
False,False,False,TH-227,210.65,False,False,1.13,161.8,,7.242,78.21
False,False,False,TH-227,236.0,False,False,11.2,27.24,,0.7632,13.3
False,False,False,TH-227,256.25,False,False,6.8,24.6,,0.1767,11.86
False,False,False,TH-227,286.15,False,False,1.58,103.5,,54.58,49.75
False,False,False,TH-227,299.9,False,False,2.0,89.48,,10.04,43.06
False,False,False,TH-227,304.44,False,False,1.05,173.7,,61.74,83.49
False,False,False,TH-227,329.82,False,False,2.75,93.17,,110.0,44.78
False,False,False,TH-227,334.4,False,False,1.0,244.7,,-285.7,117.1
True,False,False,AC-228,89.95,True,False,2.1,100.9,17.76,65.95,49.56
False,False,False,AC-228,93.35,True,False,3.5,415.3,,1199.0,207.1
False,False,False,AC-228,129.08,False,False,2.8,39.33,,9.697,19.09
False,False,False,AC-228,209.28,True,False,4.4,33.17,,39.77,15.9
False,False,False,AC-228,270.23,True,False,3.6,59.15,,70.24,28.71
False,False,False,AC-228,327.64,False,False,3.2,76.94,,-0.5788,36.97
False,False,False,AC-228,338.32,True,False,11.4,95.28,,97.96,47.12
False,False,False,AC-228,409.51,False,False,2.13,134.6,,15.55,64.53
False,False,False,AC-228,463.0,False,False,4.4,95.03,,33.58,45.51
False,False,False,AC-228,794.7,False,False,4.6,87.41,,35.82,41.33
False,False,False,AC-228,911.6,True,False,27.7,18.35,,88.52,8.716
False,False,False,AC-228,964.6,True,False,5.2,57.28,,48.48,26.15
False,False,False,AC-228,969.11,True,False,16.6,17.76,,83.14,8.1
False,False,False,AC-228,1587.9,False,False,3.71,88.5,,-14.8,40.86
False,False,False,PA-228,89.95,True,False,22.0,15.01,9.715,8.914,6.708
False,False,False,PA-228,93.35,True,False,35.0,14.4,,169.7,6.547
False,False,False,PA-228,95.0,True,False,4.4,44.53,,53.47,21.16
False,False,False,PA-228,105.0,True,False,16.3,9.715,,5.447,4.392
False,False,False,PA-228,129.22,False,False,2.97,52.96,,-20.66,25.38
False,False,False,PA-228,209.28,True,False,1.74,158.2,,142.4,74.53
False,False,False,PA-228,240.0,True,False,1.02,202.6,,523.3,94.46
False,False,False,PA-228,281.87,False,False,1.28,171.7,,-139.1,81.19
False,False,False,PA-228,310.0,False,False,1.85,135.8,,18.22,63.36
False,False,False,PA-228,327.64,False,False,1.9,187.2,,-1.38,88.16
False,False,False,PA-228,327.64,False,False,2.2,174.2,,-1.192,76.14
False,False,False,PA-228,332.36,False,False,1.64,211.4,,-135.4,98.15
False,False,False,PA-228,338.32,True,False,5.3,424.3,,298.4,207.1
False,False,False,PA-228,341.1,False,False,1.61,263.0,,5.317,124.2
False,False,False,PA-228,409.51,False,False,6.25,65.27,,7.503,31.14
False,False,False,PA-228,463.0,False,False,13.8,43.43,9.715,15.16,20.55
False,False,False,PA-228,755.18,False,False,1.31,378.2,,135.7,174.9
False,False,False,PA-228,772.17,False,False,1.24,420.1,,-27.81,194.8
False,False,False,PA-228,794.7,False,False,2.09,275.5,,111.7,128.8
False,False,False,PA-228,830.5,False,False,2.03,272.1,,127.5,126.4
False,False,False,PA-228,911.23,True,False,16.7,86.0,,207.9,41.45
False,False,False,PA-228,964.6,True,False,10.5,59.22,,34.0,26.41
False,False,False,PA-228,969.11,True,False,10.1,102.2,,193.5,43.8
False,False,False,PA-228,1588.0,False,False,2.53,187.2,,-28.73,85.62
False,False,False,PA-228,1887.0,False,False,1.63,281.0,,-82.53,122.4
False,False,False,TH-228,74.81,True,False,10.5,55.69,11.89,98.58,27.54
False,False,False,TH-228,77.11,True,False,17.6,46.1,,83.95,22.83
False,False,False,TH-228,87.3,True,False,7.9,23.05,,50.96,11.2
False,False,False,TH-228,115.18,False,False,0.59,212.9,,0.2387,103.3
False,False,False,TH-228,238.63,True,False,43.6,11.89,,94.9,5.844
False,False,False,TH-228,300.09,False,False,3.34,54.1,,7.948,25.96
False,False,False,TH-230,67.67,False,False,0.38,514.2,514.2,358.2,247.0
False,False,False,PA-231,27.36,False,False,9.3,38.0,38.0,-5.746,18.51
False,False,False,PA-231,283.67,False,False,1.6,96.37,,-18.41,46.22
False,False,False,PA-231,300.08,False,False,2.3,78.32,,11.54,37.7
False,False,False,PA-231,302.67,False,False,4.6,39.47,,-17.73,18.98
False,False,False,PA-231,330.07,False,False,1.3,194.1,,58.44,93.25
True,False,False,TH-234,63.29,True,False,4.5,57.77,57.77,837.9,25.25
False,False,False,TH-234,92.38,False,False,2.6,181.6,,1388.0,76.96
False,False,False,TH-234,92.8,True,False,2.6,90.56,,1637.0,38.02
True,False,False,U-235,89.96,True,False,1.5,146.2,11.7,92.32,71.8
False,False,False,U-235,93.35,True,False,2.5,582.3,,1678.0,290.3
False,False,False,U-235,105.0,True,False,1.0,82.46,,62.7,39.47
False,False,False,U-235,109.14,False,False,1.5,80.43,,-0.008074,39.06
False,False,False,U-235,143.76,True,False,10.5,11.7,,31.73,5.612
False,False,False,U-235,163.35,True,False,4.7,34.51,,54.13,16.43
False,False,False,U-235,185.71,True,False,54.0,15.9,,65.53,7.886
False,False,False,U-235,202.12,False,False,1.0,164.7,,3.538,79.44
False,False,False,U-235,205.31,True,False,4.7,31.99,,84.01,15.06
False,False,False,AM-241,59.54,False,False,36.3,7.254,7.254,6.434,3.362
