Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,0.999,8.6997525E+02,9.1247193E+01
False,CS-137,True,1.000,1.4289333E+02,9.9209071E+00
False,TL-208,True,0.882,2.2432922E+01,4.9737695E+00
False,PB-210,False,1.000,6.7362487E+02,5.3865474E+01
False,BI-212,False,0.999,6.6843798E+01,2.8027248E+01
False,PB-212,True,0.999,6.8533451E+01,4.5878516E+00
False,BI-214,True,0.961,1.8233658E+02,1.3201819E+01
False,PB-214,True,0.999,1.7339494E+02,5.8413332E+00
False,RA-226,False,0.960,5.7549780E+02,1.2081433E+02
False,AC-228,True,0.773,7.9174056E+01,8.0663385E+00
True,PA-228,False,0.980,,
False,PA-231,True,1.000,3.0752562E+01,2.4173195E+01
False,TH-234,True,0.551,8.2369165E+02,3.3312593E+02
False,U-235,True,0.915,3.0161321E+01,5.4860648E+00
